,Muestra,DOMINIO,categoria,proporcion,cv,sd,ic_inf,ic_sup,deff,n,tm
0,0,AMCM,tv_rest,0.43339258842952033,0.02630692686465794,0.01140122712750019,0.41104618325961995,0.4557389935994207,1.5306630000115757,2857,972
1,0,AMCM,NSE_1,0.19613769375882312,0.04685636352266533,0.009190299079260623,0.1781247075634723,0.21415067995417394,1.6119229427348944,2857,972
2,0,AMCM,NSE_2,0.14232813910495626,0.05146470832940531,0.007324876166103601,0.12797138181939322,0.1566848963905193,1.2683935857735045,2857,972
3,0,AMCM,NSE_3,0.4013761108642544,0.026840754123368973,0.010773237502701538,0.38026056535895936,0.42249165636954944,1.3786264893142068,2857,972
4,0,AMCM,NSE_4,0.2601580562719662,0.036046503313930715,0.009377788237553203,0.24177759132636192,0.2785385212175705,1.2675025890374856,2857,972
5,0,AMCM,sky,0.08326248426057929,0.07739818019519823,0.006444364760300173,0.07063152933039095,0.09589343919076763,1.536867613805198,2857,972
6,0,AMCM,dish,0.07302667131842099,0.08068786960384033,0.005892366532943259,0.0614776329138522,0.08457570972298978,1.5605146806231127,2857,972
7,0,AMCM,cable,0.28101857410595055,0.03861648371526726,0.010851949190650067,0.2597487536922764,0.3022883945196247,1.7239890120368553,2857,972
8,0,GDL,tv_rest,0.44175942744671287,0.05229785876641438,0.02310307214534027,0.39647740604184595,0.4870414488515798,1.5491045987075696,712,972
9,0,GDL,NSE_1,0.31494110963060945,0.05656224483479624,0.017813776151468935,0.2800261083737303,0.3498561108874886,1.167305219824633,712,972
10,0,GDL,NSE_2,0.18573362871749402,0.08238401847256016,0.015301482699237659,0.1557427226269882,0.21572453480799983,1.0446653434063238,712,972
11,0,GDL,NSE_3,0.35480658507759977,0.059109103852295695,0.020972299284830232,0.31370087847933253,0.395912291675867,1.3235512917178551,712,972
12,0,GDL,NSE_4,0.14451867657429662,0.09039604186454127,0.013063916337818218,0.11891340055217292,0.17012395259642032,0.9377267975596089,712,972
13,0,GDL,sky,0.04991707229417131,0.17703324042791013,0.008836981060911402,0.032596589414784966,0.06723755517355766,1.2234115992093457,712,972
14,0,GDL,dish,0.054946377628729524,0.19475991253822703,0.010701351701263757,0.03397172829425256,0.07592102696320649,1.6147568587687318,712,972
15,0,GDL,cable,0.3389520259561098,0.07202398696219661,0.02441267629827298,0.29110318041149474,0.38680087150072484,1.9078702793995168,712,972
16,0,MTY,tv_rest,0.5154157908060849,0.03575739354110346,0.01842992526915223,0.47929313727854655,0.5515384443336233,0.9747001121829358,717,972
17,0,MTY,NSE_1,0.35403041995009754,0.0562449918232567,0.019912438075277372,0.3150020413225539,0.3930587985776412,1.3025726950814958,717,972
18,0,MTY,NSE_2,0.18832801609933808,0.09055521253571548,0.017054083524305208,0.15490201239169987,0.2217540198069763,1.2866758514548295,717,972
19,0,MTY,NSE_3,0.3724691531312978,0.055143800892934206,0.020539364819032107,0.3322119980859949,0.4127263081766007,1.2891518415077272,717,972
20,0,MTY,NSE_4,0.08517241081926674,0.13982773128212922,0.011909464972687545,0.061829859472799155,0.10851496216573434,1.1550040977501776,717,972
21,0,MTY,sky,0.10586614697203747,0.14614811441081926,0.015472137759901939,0.07554075696262967,0.13619153698144526,1.8123011592172356,717,972
22,0,MTY,dish,0.0796521924853229,0.1488609481796908,0.011857100897956411,0.05641227472532834,0.10289211024531747,1.4007766294358683,717,972
23,0,MTY,cable,0.3388064644847989,0.06267342743237313,0.02123416236550695,0.2971875062484053,0.3804254227211925,1.4778892393754042,717,972
24,0,PROV,tv_rest,0.5227635055235851,0.02022925548358655,0.010575116510731912,0.5020362771625505,0.5434907338846197,1.8489515535527061,4131,972
25,0,PROV,NSE_1,0.27104530449735004,0.035343291390496995,0.009579633176875827,0.25226922347067343,0.28982138552402664,1.9368699884983709,4131,972
26,0,PROV,NSE_2,0.16788780661504618,0.040703611337780346,0.006833640028811268,0.1544938721585761,0.18128174107151626,1.351533494871879,4131,972
27,0,PROV,NSE_3,0.3751252528456157,0.02623191334774851,0.009840253127198441,0.35583835671630676,0.39441214897492466,1.7422694921441242,4131,972
28,0,PROV,NSE_4,0.1859416360419881,0.04353831688972259,0.00809558587298954,0.17007428773092859,0.20180898435304762,1.6766087190960803,4131,972
29,0,PROV,sky,0.07897133201821421,0.06197789686049699,0.004894477070760944,0.06937815695952276,0.08856450707690566,1.385504290299251,4131,972
30,0,PROV,dish,0.05686872039393458,0.07840138310755848,0.004458586334441489,0.04812989117842926,0.0656075496094399,1.5563310414778375,4131,972
31,0,PROV,cable,0.38877506539058404,0.027743350935491507,0.010785923074099632,0.36763465616534874,0.40991547461581934,2.0585919238431107,4131,972
32,0,28 CDS,tv_rest,0.4833413973401992,0.014408619796550838,0.006964282426208539,0.4696914037848305,0.49699139089556793,1.6408824889954807,8417,972
33,0,28 CDS,NSE_1,0.25339460211189024,0.023914222407327972,0.006059734871720121,0.2415175217633188,0.2652716824604617,1.6806646105238632,8417,972
34,0,28 CDS,NSE_2,0.16149749858142776,0.028411840673146827,0.004588441198807281,0.1525041538317655,0.17049084333109002,1.2764210333366763,8417,972
35,0,28 CDS,NSE_3,0.38290917659655155,0.01712782512435378,0.006558401415256034,0.3700547098226497,0.3957636433704534,1.5422340157369367,8417,972
36,0,28 CDS,NSE_4,0.20219872271013029,0.026550003589826964,0.005368376813812386,0.191676704155058,0.21272074126520257,1.4465031978179457,8417,972
37,0,28 CDS,sky,0.08029074836179674,0.04477066392546492,0.0035946701112300754,0.0732451949437858,0.08733630177980768,1.4832184255559058,8417,972
